;main;(;);{;};reg;var;def;id;";";,;[;];$;+;-;Const real;Const cadena;Binario;Const Decimal;Const Octal;Const hexadecimal;true;false;Const Exponencial;null;Console.read;Console.log;if;++;--;!;~;CLEAR;SQRT;POW;SQRTV;STRLEN;concat;copy;val;str;sin;cos;tan;chr;pred;succ;inc;dec;sqr;while;do;return;for;switch;elseif;else;:;break;case;default;||;|;?;&&;&;<;>=;<=;!=;==;>;<<;>>;>>>;*;/;#;%;^;=;+=;-=;/=;*=;Const ent
TERMINO PASCAL;529;68;529;529;529;529;529;529;68;529;529;529;529;529;68;68;68;68;68;68;68;68;68;68;68;68;529;529;529;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;68;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529
G1;534;534;13;534;13;534;534;534;534;13;13;534;13;534;13;13;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;534;13;534;534;534;534;13;13;13;13;534;534;13;13;13;13;13;13;13;13;13;13;13;13;13;13;69;70;71;73;13;534;534;534;534;534;534
ELEVACION;529;74;529;529;529;529;529;529;74;529;529;529;529;529;74;74;74;74;74;74;74;74;74;74;74;74;529;529;529;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529
H1;535;535;13;535;13;535;535;535;535;13;13;535;13;535;13;13;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;535;13;535;535;535;535;13;13;13;13;535;535;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;75;535;535;535;535;535;535
FACTOR;529;86;529;529;529;529;529;529;77;529;529;529;529;529;76;76;76;76;76;76;76;76;76;76;76;76;529;529;529;84;85;87;88;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529
I1;536;80;13;536;13;536;536;536;536;13;13;78;13;536;13;13;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;536;13;536;536;536;536;13;13;13;13;536;536;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;79;79;79;79;79;536
I2;537;537;13;537;13;537;537;537;537;13;13;537;13;537;13;13;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;13;537;537;537;537;13;13;13;13;537;537;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;81;81;81;81;81;537
I3;538;538;13;538;13;538;538;538;538;13;13;538;13;538;13;13;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;538;13;538;538;538;538;13;13;13;13;538;538;13;13;82;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;538;538;538;538;538;538
I4;529;83;13;529;529;529;529;529;83;529;529;529;529;529;83;83;83;83;83;83;83;83;83;83;83;83;529;529;529;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;83;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529;529
ARR;539;539;539;539;539;539;539;539;539;539;539;90;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539;539
FUNCION;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540;540
ASIG;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;109;110;111;112;113;537
